Postal Code,City,EV Count,Cluster
98031,Kent,1382,0
98031,Renton,1382,0
98682,Vancouver,1382,0
98403,Tacoma,212,1
98360,Orting,211,1
99202,Spokane,210,1
98052,Redmond,5730,2
98052,Woodinville,5730,2
98052,Kirkland,5730,2
98103,Seattle,2688,3
98075,Sammamish,2626,3
98075,Issaquah,2626,3
98277,Oak Harbor,657,4
98204,Everett,641,4
98506,Olympia,639,4
